Date,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Volatility,Close_Normalized
2021-01-04,243.2566680908203,248.163330078125,239.06333923339844,239.82000732421875,145914600,,,,0.3540171495309145
2021-01-05,245.0366668701172,246.94667053222656,239.73333740234372,241.22000122070312,96735600,0.007317368906131216,0.007290726849836652,,0.3586795172542558
2021-01-06,251.9933319091797,258.0,249.6999969482422,252.8300018310547,134100000,0.028390302267496503,0.027994766442436515,,0.37690117612136637
2021-01-07,272.0133361816406,272.3299865722656,258.3999938964844,259.2099914550781,154496700,0.07944656360858104,0.07644846869014829,,0.4293397636230643
2021-01-08,293.3399963378906,294.8299865722656,279.4633178710937,285.3333435058594,225166500,0.07840299470467449,0.07548123816080572,,0.485200887302286
2021-01-11,270.39666748046875,284.8099975585937,267.8733215332031,283.1333312988281,177904800,-0.07821411721500826,-0.08144231364811663,,0.4251052079259771
2021-01-12,283.14666748046875,289.3333435058594,275.7799987792969,277.0,138812100,0.047152947996006445,0.046075003355075396,,0.45850140412791046
2021-01-13,284.8033447265625,286.8233337402344,277.3333435058594,284.2533264160156,99937500,0.005850950889994211,0.00583390055163722,,0.46284075458703394
2021-01-14,281.6666564941406,287.6666564941406,279.5833435058594,281.1300048828125,93798900,-0.011013523157297866,-0.011074621019438693,,0.4546247972823864
2021-01-15,275.3866577148437,286.6333312988281,273.0333251953125,284.0,116332800,-0.02229585445953408,-0.02254816438492574,,0.4381755367818922
2021-01-19,281.51666259765625,283.3333435058594,277.6666564941406,279.26666259765625,76101000,0.022259629183488006,0.022015499815695363,,0.4542319168434778
2021-01-20,283.4833374023437,286.5,279.09332275390625,286.2466735839844,76997700,0.006985997867906768,0.0069617088412489295,,0.4593832468546732
2021-01-21,281.663330078125,285.239990234375,280.47332763671875,285.0,61563300,-0.006420156263489907,-0.006440854103183004,,0.45461608436929574
2021-01-22,282.2133178710937,282.6666564941406,276.2066650390625,278.10333251953125,60199500,0.0019526425140827808,0.0019507385857469443,,0.4560566726236212
2021-01-25,293.6000061035156,300.1333312988281,279.6066589355469,285.0,123520200,0.04034780611460387,0.039555086200732434,,0.48588193335304924
2021-01-26,294.36334228515625,298.6333312988281,290.5333251953125,297.1266784667969,69394800,0.0025999188207492807,0.002596544878530684,,0.4878813470699202
2021-01-27,288.0533447265625,297.1666564941406,286.2200012207031,290.1166687011719,82002000,-0.02143608477064074,-0.021669174678462418,,0.4713535104816445
2021-01-28,278.4766540527344,282.6666564941406,267.0,273.3333435058594,79134000,-0.033246240146660666,-0.033811459334112025,,0.44626919356333944
2021-01-29,264.510009765625,280.8033447265625,260.0333251953125,276.6666564941406,104972400,-0.05015373491403896,-0.051455133708131096,,0.4096862294147186
2021-02-01,279.9366760253906,280.6666564941406,265.1866760253906,271.42999267578125,76174200,0.058321672867634566,0.05668432585298431,,0.45009344299533643
2021-02-02,290.92999267578125,293.5,280.7333374023437,281.5599975585937,73038600,0.039270726531715816,0.03851924269165984,,0.47888834180054624
2021-02-03,284.89666748046875,292.6933288574219,284.35333251953125,292.3399963378906,55030500,-0.020738065332563282,-0.020956118951172036,,0.4630851957634699
2021-02-04,283.3299865722656,285.5,277.8066711425781,285.0,47438100,-0.005499119810906672,-0.005514295631595512,,0.4589815735676915
2021-02-05,284.07666015625,288.25665283203125,279.6566772460937,281.6666564941406,55699800,0.0026353496607176563,0.002631883215661463,,0.4609373427841263
2021-02-08,287.8066711425781,292.5899963378906,284.9166564941406,289.8900146484375,60485100,0.0131302972383458,0.013044842106937113,,0.4707073960182267
2021-02-09,283.1533203125,286.6000061035156,280.5833435058594,285.0400085449219,45473100,-0.016168321643152184,-0.016300455142510474,,0.45851882995409193
2021-02-10,268.2733459472656,281.6066589355469,266.67333984375,281.2133178710937,108648300,-0.052550944303998315,-0.053982110546516617,,0.4195435716496915
2021-02-11,270.5533447265625,276.6266784667969,267.24334716796875,270.8133239746094,64868400,0.008498789811735685,0.008462878423046197,,0.4255155941260497
2021-02-12,272.0400085449219,272.4433288574219,261.77667236328125,267.086669921875,71304900,0.005494900903412869,0.005479859012751231,,0.42940962679775524
2021-02-16,265.4066772460937,273.6666564941406,264.14666748046875,272.6666564941406,59406900,-0.024383660823671938,-0.024685864957400563,,0.4120348790700618
2021-02-17,266.04998779296875,266.61334228515625,254.0033264160156,259.6966552734375,77989500,0.002423867227268506,0.002420934399335105,0.03597594816740058,0.4137199085008236
2021-02-18,262.4599914550781,264.89666748046875,258.75665283203125,260.29998779296875,53871300,-0.013493691045324274,-0.01358555824881115,0.036102458991947785,0.4043165969663595
2021-02-19,260.4333190917969,265.5966796875,259.1233215332031,265.0,56874900,-0.007721833533733569,-0.007751801260508434,0.03582484480672826,0.3990081147796006
2021-02-22,238.1666717529297,256.1666564941406,236.73333740234372,254.2133331298828,111809100,-0.08549845855559934,-0.08937612559287707,0.03613964702060566,0.3406848737373995
2021-02-23,232.94667053222656,237.8699951171875,206.3333282470703,220.7100067138672,199820700,-0.021917429429917368,-0.022161184525391956,0.03275556966953634,0.32701207491850276
2021-02-24,247.33999633789065,248.3333282470703,231.38999938964844,237.2833404541016,110301000,0.06178807266392283,0.059954347975619854,0.032247745234781744,0.3647126500247229
2021-02-25,227.4066619873047,245.73666381835935,223.52667236328125,242.0500030517578,117071700,-0.08059082496045278,-0.08402401628244044,0.03386404191939545,0.31250107787327946
2021-02-26,225.1666717529297,235.5666656494141,219.836669921875,233.3333282470703,123267600,-0.009850152211020369,-0.009898985904473094,0.03378431205182917,0.30663385015895767
2021-03-01,239.47666931152344,239.6666717529297,228.3500061035156,230.0366668701172,81408600,0.06355291148192554,0.061615106636751404,0.03615694287579721,0.34411616279550544
2021-03-02,228.81333923339844,240.3699951171875,228.3333282470703,239.4266662597656,71196600,-0.044527636486599076,-0.04554943930628858,0.03675174869782593,0.3161856009558945
2021-03-03,217.73333740234372,233.5666656494141,217.23666381835935,229.3300018310547,90624000,-0.048423758283395735,-0.049635467535242055,0.03717417809453356,0.287163646832939
2021-03-04,207.14666748046875,222.8166656494141,200.0,218.6000061035156,197758500,-0.04862218183112743,-0.0498440101928223,0.037789991369784524,0.25943388166932785
2021-03-05,199.3166656494141,209.27999877929688,179.8300018310547,208.6866607666016,268189500,-0.03779931353128296,-0.038532236280416896,0.03812861217148663,0.2389246834409829
2021-03-08,187.6666717529297,206.7100067138672,186.26333618164065,200.18333435058597,155361000,-0.0584496728285433,-0.06022747806878108,0.03901891987417637,0.2084097436826834
2021-03-09,224.52667236328125,226.02999877929688,198.40333557128903,202.72666931152344,202569900,0.1964120760817838,0.17932714140524914,0.05390752255571599,0.3049574936737956
2021-03-10,222.6866607666016,239.2833404541016,218.35333251953125,233.43333435058597,181817100,-0.008195069108326458,-0.008228833280182578,0.05387335117660476,0.3001379338073998
2021-03-11,233.1999969482422,234.1666717529297,225.72666931152344,233.13333129882807,108761700,0.04721134236531421,0.046130766690605556,0.05473072909132589,0.327675615208102
2021-03-12,231.2433319091797,231.6266632080078,222.04666137695312,223.3333282470703,100751400,-0.008390501992574073,-0.008425900400429927,0.054485940473201655,0.3225505038711613
2021-03-15,235.97999572753903,237.72666931152344,228.01333618164065,231.3633270263672,88006800,0.020483461206222575,0.02027649657712319,0.053982720387419414,0.3349572924374771
2021-03-16,225.6266632080078,235.97332763671875,223.6666717529297,234.4499969482422,96587100,-0.04387377195940423,-0.04486533694757759,0.053234623575079375,0.3078387101499383
2021-03-17,233.9366607666016,234.57666015625,217.0033264160156,218.9566650390625,121117500,0.03683074261011732,0.03616869761350537,0.0531651133495124,0.32960516575028215
2021-03-18,217.72000122070312,229.7433319091797,217.3333282470703,228.0966644287109,99674400,-0.0693207276395118,-0.07184055905976212,0.05435791397333251,0.2871287152455935
2021-03-19,218.2899932861328,219.07666015625,208.2066650390625,215.5333404541016,128682000,0.0026180050626212203,0.002614584056873359,0.054388721604144666,0.28862170088093747
2021-03-22,223.3333282470703,233.2066650390625,222.9166717529297,228.19667053222656,118536600,0.023103830299388672,0.02284097771296026,0.05464530222802561,0.3018317560862345
2021-03-23,220.72000122070312,225.93333435058597,219.1699981689453,225.2566680908203,91475700,-0.01170146456365928,-0.011770465503008509,0.054523948823636544,0.2949866437636955
2021-03-24,210.08999633789065,222.67333984375,210.0366668701172,222.6366729736328,101385600,-0.04816058727810213,-0.049358942535190804,0.05501132492655549,0.26714337092495716
2021-03-25,213.4633331298828,215.1666717529297,203.1666717529297,204.3333282470703,117674700,0.016056627401557888,0.015929083234572167,0.05454103739823002,0.27597918405127636
2021-03-26,206.23666381835935,214.60667419433597,199.9633331298828,213.9566650390625,101558400,-0.03385438241576766,-0.03444071328935919,0.054694977343041205,0.25705030042663896
2021-03-29,203.76333618164065,205.4933319091797,198.67333984375,205.2133331298828,85911000,-0.011992667021112458,-0.012065159218404021,0.05464347431693914,0.25057188983624507
2021-03-30,211.8733367919922,212.55332946777344,197.0033264160156,200.5833282470703,118297200,0.0398010788512122,0.03902942452340498,0.05524162183295576,0.2718144915288802
2021-03-31,222.6433258056641,224.0,213.70333862304688,215.5399932861328,100011900,0.05083220558444035,0.04958242699342918,0.05619702915391525,0.3000244261322726
