Date,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Volatility,Close_Normalized,SMA20,SMA50,EMA20,Upper_Band,Lower_Band,RSI,MACD,Signal
2021-01-04,159.3314971923828,163.60000610351562,157.2010040283203,163.5,88228000,,,,0.4501771248703416,,,159.3314971923828,,,,0.0,0.0
2021-01-05,160.92550659179688,161.16900634765625,158.2530059814453,158.30050659179688,53110000,0.0100043583817541,0.009954646073317,,0.459434932958324,,,159.4833076113746,,,,0.12715744496748016,0.025431488993496034
2021-01-06,156.91900634765625,159.87550354003906,156.55799865722656,157.32400512695312,87896000,-0.0248966141477093,-0.0252117768342108,,0.4361656784744153,,,159.23908844340144,,,,-0.09427372098619458,0.0014904469975579142
2021-01-07,158.10800170898438,160.427001953125,157.75,157.85000610351562,70290000,0.0075771277744003,0.0075485655308555,,0.4430712154660561,,,159.13136589726648,,,,-0.17183670000650864,-0.03317498240325539
2021-01-08,159.13499450683594,159.53199768066406,157.11000061035156,159.0,70754000,0.0064955143746732,0.0064745094307222,,0.4490358617433897,,,159.13171147913022,,,,-0.14872181137607754,-0.05628434819781983
2021-01-11,155.7104949951172,157.81900024414062,155.5,157.40049743652344,73668000,-0.0215194622800055,-0.0217543822569511,,0.42914679503617,,,158.80588133779563,,,,-0.4020964686673949,-0.12544677229173484
2021-01-12,156.04150390625,157.10699462890625,154.3000030517578,156.0,70292000,0.002125797051401,0.0021235407419207,,0.4310692535711109,,,158.54260729669602,,,,-0.569621811598239,-0.21428178015303567
2021-01-13,158.29449462890625,159.49749755859375,156.10400390625,156.4219970703125,66424000,0.0144384068741727,0.0143351656502693,,0.4441543431207857,,,158.51897751881125,,,,-0.514656688593135,-0.27435676184105556
2021-01-14,156.37350463867188,158.89999389648438,156.0294952392578,158.37600708007812,61418000,-0.0121355451731773,-0.0122097821167071,,0.432997472480586,,,158.31464676832178,,,,-0.6189691790370091,-0.3432792452802463
2021-01-15,155.21249389648438,157.12750244140625,154.7584991455078,156.1510009765625,84880000,-0.0074246001256428,-0.0074522996596315,,0.4262544666719573,,,158.01920363767059,,,,-0.7862579509377383,-0.4318749864117447
2021-01-19,156.03799438476562,157.25,154.8000030517578,155.35000610351562,66102000,0.0053185182942283,0.0053044249242844,,0.4310488707073744,,,157.8305170421558,,,,-0.8425125571972387,-0.5140025005688436
2021-01-20,163.16900634765625,163.99000549316406,158.75,159.09950256347656,106196000,0.0457004846223967,0.044686981065348,,0.4724649001547635,,,158.3389445950606,,,,-0.3081297410480488,-0.47282794866468464
2021-01-21,165.34950256347656,167.42750549316406,164.47850036621094,164.64999389648438,98722000,0.0133634215506248,0.013274918628908,,0.485128950636559,,,159.0066167825288,,,,0.2880004226220194,-0.32066227440734385
2021-01-22,164.6114959716797,166.0955047607422,164.1580047607422,165.2154998779297,56438000,-0.0044633130451272,-0.0044733033644948,,0.4808427002562081,,,159.54041480054315,,,59.50254898880773,0.6928995928455493,-0.11794990095676525
2021-01-25,164.6999969482422,168.1945037841797,162.15750122070312,166.4250030517578,74996000,0.0005376354551673,0.0005374909810066,,0.4813567029069552,,,160.03180357651448,,,59.631145970319544,1.0092919027710252,0.10749845978879284
2021-01-26,166.30650329589844,166.89999389648438,164.14349365234375,164.8179931640625,59104000,0.0097541370821099,0.0097068725880352,,0.490687091714069,,,160.62939402597962,,,59.64923897619546,1.3738300661693188,0.36076478106489807
2021-01-27,161.62899780273438,167.3260040283203,160.35400390625,167.07449340820312,93204000,-0.0281258122831292,-0.0285289194046023,,0.4635207223048836,,,160.72459438567057,,,58.24751137702024,1.2706463649193438,0.5427410978357872
2021-01-28,161.88099670410156,165.08399963378906,161.4344940185547,161.7519989013672,62984000,0.0015591193708615,0.0015579052061098,,0.4649843005423126,,,160.83472793980687,,,56.830923543669876,1.1954266097480115,0.673278200218232
2021-01-29,160.30999755859375,161.84950256347656,159.2274932861328,161.5,85872000,-0.0097046545146951,-0.0097520515716462,,0.4558601331435246,,,160.78475361778655,,,52.08622202137995,0.9975487887071495,0.7381323179160155
2021-02-01,167.1439971923828,167.51300048828125,161.75149536132812,162.1179962158203,83204000,0.0426299029247456,0.041746274050055,,0.4955511519707769,160.35949935913087,,161.3903958629862,168.04268328549432,152.6763154327674,68.1078740225983,1.3763105944195217,0.8657679732167167
2021-02-02,169.0,171.38699340820312,168.05650329589844,169.0,141972000,0.011104214562255,0.0110430154007185,,0.5063305851472641,160.84292449951172,,162.11512006651134,169.41860876514315,152.2672402338803,69.57741725481662,1.8054340497087082,1.053701188515115
2021-02-03,165.62649536132812,171.6999969482422,165.43099975585938,171.25050354003906,141776000,-0.0199615659093009,-0.0201634896266461,,0.4867376903122508,161.07797393798828,,162.44953676125579,169.9168471524407,152.23910072353584,60.71427615812114,1.8519556568963935,1.2133520821913708
2021-02-04,166.5500030517578,167.35000610351562,163.8874969482422,166.5,73414000,0.0055758451473297,0.0055603576666345,,0.492101307972797,161.55952377319335,,162.8400573603512,170.49325953813243,152.62578800825426,65.3174926539186,1.940969430916482,1.358875551936393
2021-02-05,167.6074981689453,168.85000610351562,165.135498046875,165.9499969482422,72416000,0.0063494151774878,0.0063293425623789,,0.4982431079223449,162.0344985961914,,163.29409934212208,171.2026153515749,152.86638184080792,68.71506989821802,2.0729488423498594,1.5016902100190865
2021-02-08,166.14700317382812,168.25,165.1999969482422,167.9250030517578,65148000,-0.0087137807739665,-0.0087519677588362,,0.4897607348678173,162.385099029541,,163.56580446895123,171.62238491084238,153.14781314823963,64.97629577519552,2.0362214432373094,1.608596456662731
2021-02-09,165.25,166.89999389648438,164.89199829101562,165.62449645996094,44070000,-0.0053988525624483,-0.0054134790348089,,0.4845510521390552,162.86207427978516,,163.72620404333682,171.62098072941518,154.10316783015514,53.78142173471821,1.91268580393222,1.669414326116629
2021-02-10,164.32899475097656,165.8975067138672,162.6999969482422,165.6999969482422,63032000,-0.0055734054403838,-0.0055889948154067,,0.4792019683465647,163.27644882202148,,163.78361268215966,171.44068599129747,155.1122116527455,48.05665908081834,1.7206311287262963,1.6796576866385626
2021-02-11,163.10650634765625,164.60000610351562,162.4029998779297,164.60000610351562,46028000,-0.0074392739100781,-0.0074670833152647,,0.47210190793796,163.51704940795898,,163.7191263645879,171.33957276803739,155.69452604788057,47.18598983508692,1.4530321672177138,1.6343325827543929
2021-02-12,163.885498046875,164.0124969482422,161.66549682617188,162.5,46706000,0.004775969497859,0.0047646007390635,,0.4766261947182948,163.89264907836915,,163.7349712867105,170.95545619803457,156.82984195870372,48.51539506861629,1.2889578780279578,1.565257641809106
2021-02-16,163.44749450683594,165.4149932861328,162.67950439453125,162.70249938964844,51494000,-0.0026726192693009,-0.0026761970923746,,0.4740823247028299,164.3043991088867,,163.70759254577007,170.0792578276674,158.52954039010604,44.55696467290892,1.1107802137533724,1.4743621561979594
2021-02-17,165.4320068359375,166.04550170898438,162.97500610351562,163.17999267578125,65950000,0.0121415891695946,0.012068471325383,0.0163143410980251,0.4856081251766606,164.77409973144532,,163.87182247816696,169.052156260941,160.49604320194965,58.06747528944432,1.1168325404892983,1.4028562330562273
2021-02-18,166.4114990234375,166.89999389648438,163.69700622558594,164.12100219726562,60548000,0.0059208142742981,0.00590335513445,0.0162568432365444,0.4912968938243778,164.93622436523438,,164.1136964348594,169.2039110346268,160.66853769584196,59.32298015336975,1.1869830844790954,1.359681603340801
2021-02-19,162.4949951171875,166.6750030517578,162.28750610351562,166.4114990234375,86104000,-0.0235350557457474,-0.0238164286910074,0.0161830797525067,0.4685503268635907,164.79349899291992,,163.95953440460494,169.19191619382664,160.3950817920132,54.10050879801337,0.9159898020981245,1.2709432430922658
2021-02-22,159.03700256347656,161.61599731445312,158.61300659179688,160.406494140625,70314000,-0.0212806096041119,-0.0215103063466179,0.0166474762090823,0.4484667367394073,164.51477432250977,,163.490721848307,169.61264236198213,159.4169062830374,32.57834008601637,0.4173832397987951,1.1002312424335718
2021-02-23,159.72500610351562,160.2364959716797,154.67999267578125,156.35150146484375,93544000,0.0043260595267096,0.0043167290310363,0.0166244576214197,0.452462575622086,164.26602478027343,,163.132082253565,169.7932639993401,158.73878556120675,29.01490043361781,0.07686404187737139,0.8955578023223318
2021-02-24,157.97650146484375,158.56149291992188,156.2689971923828,158.33749389648438,60226000,-0.0109469686765182,-0.0110073276407877,0.0162548879257448,0.4423074784239632,163.8495246887207,,162.64107455940106,169.9545593326171,157.7444900448243,31.31778289203031,-0.33028229851782953,0.6503897821542997
2021-02-25,152.85800170898438,158.91299438476562,152.38800048828125,156.83700561523438,90676000,-0.0324003868195451,-0.032936900018508,0.0173304066530331,0.4125798692545637,163.4109748840332,,161.70935333555184,171.21213130510898,155.60981846295743,22.24855833493639,-1.0538210665482097,0.30954761241379775
2021-02-26,154.64649963378906,156.1219940185547,151.8350067138672,154.75999450683594,85518000,0.0117003879732098,0.0116324677160528,0.0172558402035223,0.4229672424781361,163.04925003051758,,161.03670060205062,171.76625087812917,154.332249182906,24.48621722513448,-1.4660146136924652,-0.04556483280745488
2021-03-01,157.3070068359375,157.47799682617188,154.89950561523438,156.39450073242188,54582000,0.0172037983947173,0.0170574887258996,0.0174122061749913,0.438419136992208,162.89910049438475,,160.68149167194463,171.91315908234066,153.88504190642885,33.383469343034704,-1.560017363976641,-0.34845533904129217
2021-03-02,154.72650146484375,158.17599487304688,154.3560028076172,157.17349243164062,51916000,-0.0164042621050254,-0.0165403018184847,0.0176262229854263,0.4234318831501822,162.27822570800782,,160.11434974745885,171.75968090381022,152.79677051220543,31.39640524215737,-1.8217405470617223,-0.6431123806453782
2021-03-03,150.25,155.38900756835938,149.75,154.0590057373047,79774000,-0.0289317047982299,-0.0293584782499119,0.0183665213445451,0.3974329201062195,161.34072570800782,,159.17488786674846,171.69175722581807,150.98969419019758,27.89033456803672,-2.3631335789015395,-0.9871166202966105
2021-03-04,148.8784942626953,152.906494140625,147.27149963378906,150.60000610351562,109632000,-0.0091281579853889,-0.0091700748972745,0.0161425064789178,0.3894673855791327,160.50332565307616,,158.19427895207673,172.03678195776737,148.96986934838495,27.76040645554906,-2.8697794765792537,-1.3636491915531392
2021-03-05,150.0229949951172,150.4499969482422,144.0500030517578,150.25,107772000,0.0076874819166454,0.007658083796422,0.0159774384729646,0.3961145033070531,159.67697525024414,,157.4160614323663,171.742287351246,147.61166314924228,28.576522139808077,-3.1427210248619417,-1.7194635582148998
2021-03-08,147.59750366210938,153.22950744628906,147.5655059814453,150.75,83700000,-0.0161674637483857,-0.0162995831494538,0.0161534541378302,0.3820275516941549,158.67647552490234,,156.48096069234182,171.2794516773881,146.0734993724166,26.922654808353258,-3.5142361217352516,-2.0784180709189704
2021-03-09,153.1425018310547,154.54800415039062,150.25750732421875,150.89950561523438,80600000,0.0375683736605689,0.0368798732746935,0.0178035058321171,0.4142322105344223,158.02625045776367,,156.1630122293621,170.3450552208524,145.70744569467493,33.78757629594918,-3.322924892170448,-2.327319435169266
2021-03-10,152.8820037841797,155.822998046875,151.50250244140625,154.92250061035156,60250000,-0.0017010173123747,-0.0017024656850275,0.0176589912624735,0.4127192703182921,157.40785064697266,,155.85053523458282,169.43815331742425,145.37754797652107,31.806640941598232,-3.155949557735937,-2.4930454596826004
2021-03-11,155.67950439453125,156.58900451660156,154.14649963378906,155.20050048828125,55528000,0.0182984297766055,0.0181330281895855,0.0173815900061172,0.4289668054872618,156.9753761291504,,155.83424658314934,168.57213726515485,145.37861499314593,40.550710018963734,-2.766000747792134,-2.547636517304507
2021-03-12,154.47450256347656,154.94900512695312,152.27499389648438,153.75,48438000,-0.0077402727850476,-0.0077703841773409,0.0174153487172148,0.4219683049127531,156.5437759399414,,155.7047471527043,167.81779043425098,145.26976144563184,43.25283892181898,-2.5250894245551763,-2.543127098754641
2021-03-15,154.08399963378906,154.11199951171875,151.60450744628906,153.72850036621094,58272000,-0.0025279442445658,-0.0025311448907922,0.0173466927890912,0.4197003125269047,156.0537010192871,,155.55039024614092,166.82488392660557,145.28251811196864,41.58385728055569,-2.3387165198339517,-2.5022449829705034
2021-03-16,154.59300231933594,156.44549560546875,153.79299926757812,155.24850463867188,50776000,0.0033034103914528,0.0032979661178309,0.0152857635093124,0.4226565367378742,155.6109764099121,159.48718017578125,155.45921044358806,165.81554368219824,145.40640913762596,44.758086821425415,-2.12544161934116,-2.4268843102446347
2021-03-17,156.7864990234375,158.65249633789062,153.51100158691406,153.66099548339844,62372000,0.0141888485972383,0.0140891290484045,0.0153903455343663,0.4353960924366414,155.1787010192871,159.43628021240235,155.58561887976418,164.3073100940425,146.05009194453172,56.692839287422586,-1.7591445486068835,-2.2933363579170845
2021-03-18,151.39950561523438,155.8314971923828,151.25,155.0500030517578,72992000,-0.0343587837075043,-0.0349629254655206,0.0161624955039201,0.4041091055702511,154.42810134887696,159.2457601928711,155.18694142599944,162.00456367962872,146.8516390181252,45.07239899685765,-1.881844100696128,-2.2110379064728933
2021-03-19,153.7480010986328,153.864501953125,150.8314971923828,151.4615020751953,92508000,0.0155119098563432,0.015392830040768,0.0164407896774135,0.4177488748769994,153.99075164794922,159.18234008789062,155.04989949005977,160.5477965206486,147.43370677524985,44.54725549814449,-1.769186342538319,-2.1226675936859785
2021-03-22,155.5435028076172,156.32899475097656,153.00250244140625,153.3925018310547,58044000,0.011678211724083,0.0116105476966051,0.0165683389158635,0.4281769252068982,153.81607666015626,159.13105010986328,155.09690932982713,159.9815431133598,147.6506102069527,51.28257704492984,-1.5175291439197736,-2.0016399037327375
2021-03-23,156.875,159.10000610351562,156.04249572753906,156.35000610351562,76346000,0.0085602880759967,0.0085238565718315,0.0166396998906524,0.4359100950873886,153.67357635498047,159.08585021972655,155.266251298415,159.37855251848868,147.96860019147226,61.539806826457436,-1.196851743399833,-1.8406822716661566
2021-03-24,154.35350036621094,158.0155029296875,154.25750732421875,157.552001953125,59180000,-0.0160733044384959,-0.0162038810854621,0.0168328034912609,0.4212655392195764,153.49242630004883,159.05871032714845,155.17932263820506,158.84106906318547,148.1437835369122,59.169334592676186,-1.1331146996092514,-1.6991687572547756
2021-03-25,152.31300354003906,155.48899841308594,151.85699462890625,153.64950561523438,71270000,-0.0132196342896707,-0.0133077914540172,0.0169441985717965,0.4094145877585748,153.46517639160157,158.9841403198242,154.90633986695119,158.8329475554672,148.09740522773595,53.72347287941821,-1.2330399568513428,-1.605942997174089
2021-03-26,152.60150146484375,152.83299255371094,149.8000030517578,152.2030029296875,66258000,0.0018941122432061,0.0018923206745425,0.0169339498732288,0.4110901477788637,153.3629264831543,158.87028045654296,154.68683144770287,158.7138320321394,148.0120209341692,58.74397279076985,-1.2742631591864892,-1.5396070295765691
2021-03-29,153.7864990234375,154.5625,151.42250061035156,152.77200317382812,54920000,0.0077653073345858,0.007735312514846,0.0169843891095108,0.4179724660300743,153.1869010925293,158.81854034423827,154.60108550253474,158.21329141659908,148.16051076845952,51.32761123088953,-1.1975093026759112,-1.4711874841964376
2021-03-30,152.76449584960938,153.64999389648438,151.6999969482422,153.50050354003906,46752000,-0.0066455975024983,-0.0066677778077828,0.0170054684609525,0.4120367988677053,153.08880081176758,158.7695803833008,154.42617220225614,158.06500592067582,148.11259570285935,49.76512963465626,-1.2052550038613106,-1.4180009881294122
2021-03-31,154.70399475097656,155.9665069580078,153.125,153.2030029296875,61878000,0.0126960056430687,0.0126160870835549,0.017021784198571,0.4233011669588283,153.3115005493164,158.742900390625,154.45263149261046,158.14952080684932,148.4734802917835,47.98093716148144,-1.0428706123292955,-1.3429749129693889
2021-04-01,158.0500030517578,158.1219940185547,155.77749633789062,155.89700317382812,58806000,0.021628454431104,0.0213978781587095,0.0175112978630896,0.4427343664875234,153.77007598876952,158.64052032470704,154.79523830776733,158.57745239577375,148.9626995817653,56.797919115658964,-0.6368437674788652,-1.201748683871284
2021-04-05,161.3365020751953,161.79800415039062,158.06199645996094,158.64999389648438,66698000,0.0207940459346984,0.0205808008471561,0.0174640103681121,0.4618219435441644,154.33575134277345,158.56026031494142,155.41821580942715,159.89096772946814,148.78053495607875,62.42101301945863,-0.04930322599727788,-0.971259592296483
2021-04-06,161.1909942626953,162.36549377441406,160.8520050048828,161.1875,50756000,-0.0009018902147276,-0.0009022971624071,0.0170015828363862,0.4609768522894187,155.01542587280272,158.49185028076172,155.96800423354793,160.42376762837392,149.60708411723152,61.44253303046149,0.3999749593629076,-0.6970126819646049
2021-04-07,163.96949768066406,165.1804962158203,161.1824951171875,161.69000244140625,66924000,0.017237336556412,0.0170904591187231,0.0172608947090634,0.4771140541307712,155.5567756652832,158.47724029541016,156.73005122851137,162.2018312566204,148.911720073946,62.20933942038804,0.9690624147467304,-0.3637976626223378
2021-04-08,164.96499633789062,166.22500610351562,164.60000610351562,165.5449981689453,56242000,0.006071242952548,0.0060528872143504,0.0171332546031663,0.4828957863613561,156.16092529296876,158.45041015625,157.5143317151189,163.89063427179917,148.43121631413834,77.10441303263525,1.4832982066951956,0.005621511241168886
2021-04-09,168.61000061035156,168.61000061035156,164.44500732421875,165.23500061035156,86830000,0.0220956224252266,0.0218550514215289,0.0162729456288019,0.5040655172592563,156.80745010375978,158.59003021240235,158.57106208609346,166.32411391348413,147.29078629403543,78.23219364465783,2.160055385008434,0.4365082859946219
2021-04-12,168.96949768066406,169.7519989013672,167.5574951171875,167.760498046875,65636000,0.0021321218730274,0.0021298521268644,0.0161983039431656,0.5061534314750498,157.53219985961914,158.7318002319336,159.56138928557635,168.4110566173233,146.65334310191497,76.97606912654886,2.6943400586974917,0.8880746405351959
2021-04-13,170.0,171.60000610351562,169.781494140625,170.04249572753906,66316000,0.0060987476052245,0.0060802255136068,0.0159900529441148,0.5121384606161199,158.3279998779297,158.92560028076173,160.55554268695005,170.40712709321764,146.24887266264176,76.69417517307642,3.1644397452248825,1.3433476614731332
2021-04-14,166.64999389648438,170.2064971923828,166.3000030517578,170.20199584960938,62904000,-0.0197059182559742,-0.0199026689212699,0.0161368620700568,0.4926820423469945,158.93084945678712,158.91572021484376,161.1359666116676,171.42157922546681,146.44011968810742,74.19376919543544,3.2294525199134796,1.7205686331612027
2021-04-15,168.95449829101562,169.85000610351562,167.60000610351562,168.5500030517578,64672000,0.0138284097145704,0.013733669660684,0.0151112241740893,0.5060663168878629,159.53924942016602,158.91481018066406,161.88058867636744,172.7545464185969,146.32395242173513,82.40604443831685,3.4274206851743543,2.061939043563833
2021-04-16,169.9720001220703,170.33999633789062,167.7794952392578,169.0,63720000,0.0060223423545793,0.0060042805309085,0.0149081518748106,0.5119758408119611,160.4678741455078,159.0017202758789,162.6511992902439,173.88349218829535,147.05225610272026,82.89177833393913,3.6246332606033604,2.3744778869717384
2021-04-19,168.60049438476562,171.79649353027344,168.00799560546875,169.51649475097656,54508000,-0.0080690098152619,-0.0081017404631449,0.0150698962742031,0.5040103062848743,161.21049880981445,159.04273010253905,163.2177988230555,174.70398515913348,147.71701246049543,77.8541901928921,3.6284303106205584,2.6252683717015026
2021-04-20,166.7344970703125,169.14950561523438,165.8000030517578,168.67999267578125,52460000,-0.0110675672764914,-0.0111292684763649,0.0148617772333722,0.4931728262573114,161.77004852294922,159.0252700805664,163.5527224656514,175.20206151074242,148.33803553515602,75.4592202210397,3.4412010875651617,2.788454914874235
2021-04-21,168.1009979248047,168.14300537109375,165.1905059814453,165.8000030517578,44224000,0.0081956696334768,0.0081622675108459,0.0134904947069091,0.5011092930482869,162.33134841918945,159.06434997558594,163.98589155699935,175.84008547583548,148.82261136254343,74.935756741282,3.364304173705591,2.9036247666405064
2021-04-22,165.45199584960938,168.64349365234375,165.07249450683594,168.58399963378906,51612000,-0.0157583958923329,-0.0158838794383436,0.013904370456099,0.4857242188788122,162.8862731933594,159.06838989257812,164.12552053724792,175.91855651586224,149.85398987085654,64.14427895221473,3.054401250310491,2.9337800633745035
2021-04-23,167.04400634765625,168.75,165.4250030517578,165.9550018310547,63856000,0.0096221897467707,0.0095761913140458,0.0136574467190636,0.4949704175965794,163.62282333374023,159.1226901245117,164.40347156681062,175.77436239567368,151.47128427180678,61.6615131749188,2.9037898115937537,2.9277820130183536
2021-04-26,170.4499969482422,171.42250061035156,166.5469970703125,167.39999389648438,97614000,0.0203897803642072,0.0201846919121661,0.01389781021255,0.5147519868528756,164.51524810791017,159.26955993652345,164.97933112694696,175.85309211300859,153.17740410281175,66.69370094077073,3.024400728753079,2.947105756165299
2021-04-27,170.8715057373047,173.0,169.90049743652344,172.17349243164062,76542000,0.0024729175512423,0.0024698649221989,0.0138544338336723,0.5172000574087788,165.3694984436035,159.40928009033203,165.54049061364768,175.8455155469613,154.8934813402457,63.59999951893531,3.11805498914498,2.9812956027612354
2021-04-28,172.9250030517578,174.49400329589844,171.25,171.74000549316406,92638000,0.0120177867315698,0.0119461465325301,0.0139402564550593,0.5291265140867522,166.37752380371094,159.59883026123046,166.24377751251532,175.54468711538303,157.21036049203886,65.05693248629723,3.3197091955719884,3.048978321323386
2021-04-29,173.5655059814453,175.72250366210938,171.75,175.2550048828125,153648000,0.0037039347600635,0.003697092085053,0.0138025211645367,0.5328464753398144,167.3205993652344,159.76150024414062,166.94108498574676,175.2250707456242,159.41612798484456,60.5757933375537,3.4909631899206772,3.1373752950428444
2021-04-30,173.37100219726562,177.6999969482422,173.125,176.25599670410156,140186000,-0.0011206361718005,-0.0011212645540177,0.0118567094870848,0.5317168215830775,168.08664932250977,159.9006903076172,167.55345805351047,175.13101907501778,161.04227957000177,59.460094096873995,3.569837519633438,3.2238677399609634
2021-05-03,169.32449340820312,174.33250427246094,168.63499450683594,174.2364959716797,117510000,-0.0233401707193126,-0.0236168664001365,0.0127140372501268,0.5082152024525725,168.48604888916014,160.0372802734375,167.7221280872907,174.78537733442002,162.18672044390027,48.71476714263152,3.2681533159260994,3.232724855153991
2021-05-04,165.593505859375,168.3990020751953,163.60650634765625,167.8094940185547,108788000,-0.0220345413338018,-0.0222809279082476,0.0134183617325321,0.4865460913931275,168.70617446899413,160.16841033935546,167.51940216082255,174.18661216471256,163.2257367732757,48.01862840711895,2.6969184992582598,3.125563583974845
2021-05-05,163.52699279785156,167.73500061035156,163.21800231933594,166.9429931640625,74226000,-0.0124794329994942,-0.0125579550814619,0.0136214852747523,0.4745440408770356,168.6840492248535,160.24445007324218,167.13917269768245,174.24794056675145,163.12015788295557,39.72939899874512,2.0537856949752324,2.9112080061749226
2021-05-06,165.31849670410156,165.72000122070312,162.36000061035156,163.5,88954000,0.0109554017694475,0.01089582607764,0.0133111107726535,0.4849488724665042,168.70172424316405,160.39128997802734,166.9657749840081,174.21791197850197,163.18553650782613,41.44467535032362,1.6694137445970796,2.662849153859354
2021-05-07,164.58050537109375,166.54449462890625,164.45350646972656,165.95449829101562,94206000,-0.0044640578502762,-0.0044740515091261,0.0130508190678707,0.4806627107072999,168.50024948120117,160.62574005126953,166.73860644944486,174.31671873120465,162.6837802311977,42.433109647444844,1.2903718680825307,2.3883536967039896
2021-05-10,159.52450561523438,164.14999389648438,159.5,164.11599731445312,116772000,-0.0307205263737596,-0.0312022941998659,0.014405599392933,0.4512980937547038,168.0279998779297,160.72330017089843,166.0515492271391,175.0853906939251,160.97060906193428,37.88359777505854,0.5753690285444009,2.025756763072072
2021-05-11,161.19549560546875,161.89999389648438,156.36849975585938,156.81399536132812,92396000,0.0104748169178767,0.0104203361436491,0.0144541236367843,0.4610029955276895,167.58777465820313,160.80106994628906,165.58906792983717,175.20355466989963,159.97199464650663,38.512850477371614,0.14192305344292322,1.6489900211462423
