Date,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Volatility,Close_Normalized,SMA20,SMA50,EMA20,Upper_Band,Lower_Band,RSI,MACD,Signal
2021-01-04,125.74085235595705,129.82176713240116,123.16598610776016,129.7343224533574,143301900,,,,0.0725575609969561,,,125.74085235595705,,,,0.0,0.0
2021-01-05,127.29547882080078,128.0047918651902,124.78862757117712,125.23559175221487,97664900,0.0123637341064204,0.0122879273427749,,0.0815735741013421,,,125.8889120192755,,,,0.12401578636929855,0.024803157273859712
2021-01-06,123.01052856445312,127.33436285992688,122.79676500387104,124.09877604874404,155088000,-0.0336614489064436,-0.0342410391982673,,0.0567231238250075,,,125.61478026167336,,,,-0.12205352722514817,-0.004568179625941866
2021-01-07,127.2080535888672,127.89792964576662,124.23481543686934,124.720639051932,109578200,0.0341232988216511,0.0335540134855427,,0.0810665538912839,,,125.76652057854896,,,,0.02139334899713674,0.0006241260986738556
2021-01-08,128.30599975585938,128.86955684085643,126.53759495540402,128.67521556411702,105158200,0.0086311057831347,0.0085940707392949,,0.0874340622628251,,,126.00837573829281,,,,0.2211221531023284,0.04472373149940477
2021-01-11,125.322998046875,126.47926009199996,124.85661174188584,125.527050395019,100384500,-0.0232491209659753,-0.0235236450893127,,0.0701342265101173,,,125.94310167244349,,,,0.13712467351530222,0.06320391990258427
2021-01-12,125.14816284179688,126.01292826031992,123.26316489383076,124.85666571536174,91951100,-0.0013950767840131,-0.0013960508096289,,0.0691202745829251,,,125.8673932123819,,,,0.05580504011733467,0.061724143945534354
2021-01-13,127.17887115478516,127.72299108513502,124.84692436009828,125.10925836684515,88636800,0.0162264332681842,0.0160961917149878,,0.0808973111734662,,,125.99229587356317,,,,0.15345094729332232,0.08006950461509195
2021-01-14,125.2550277709961,127.28576659581172,125.10927181431389,127.09144014639318,90221800,-0.0151270676199635,-0.0152426487914684,,0.0697400347786042,,,125.92207986379486,,,,0.07473643429652554,0.07900289055137868
2021-01-15,123.53521728515624,126.52789226757407,123.39918727805356,125.12871800814143,111598500,-0.0137304706760689,-0.0138256054222277,,0.0597660415216764,,,125.69475961821023,,,,-0.12497903697077106,0.03820650504694874
2021-01-19,124.20565795898438,125.06071220220736,123.34089258160076,124.15707263586324,90757300,0.0054271218245447,0.0054124480658047,,0.0636542436317283,,,125.55294041256968,,,,-0.22654456284951152,-0.014743708532343313
2021-01-20,128.2865753173828,128.7335395413519,124.90524730001776,125.01212908230433,104319500,0.0328561309159205,0.0323279073654255,,0.0873214107701286,,,125.81328659398046,,,,0.022006276665877067,-0.007393711492699237
